time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
9.553378731088548648e+01 1.061084887718701850e+02 9.517957247443779067e+01 8.982379594150967250e+01 8.680964906722039132e+01 1.125321158411731375e+02
1.122880600165808005e+02 1.086858833098426089e+02 8.904931726919986090e+01 9.157429072938450076e+01 9.713848314955411922e+01 1.137684476264544742e+02
9.521803681023085630e+01 1.009281514382842886e+02 9.357590465782516276e+01 1.205261132248569140e+02 1.201959751170229822e+02 9.504940549673051464e+01
9.956978953340052385e+01 1.094932182428278082e+02 9.176522091578635809e+01 8.933350091648350144e+01 1.191936863839036391e+02 9.670940440464762844e+01
1.068704604267731781e+02 8.094505581750621559e+01 9.299632767533302058e+01 9.789439954218718754e+01 8.746334042675852061e+01 9.382238744998633706e+01
1.070288883988001771e+02 8.365858411442349052e+01 1.051641157622813978e+02 1.010096510293325309e+02 1.102164535406592165e+02 1.050923163863465390e+02
1.073198706793120891e+02 1.002470802107249881e+02 1.000823143406489919e+02 1.006768146965449091e+02 1.179942086107891015e+02 8.762242170858111479e+01
9.540102371786230151e+01 9.602776400933744583e+01 1.080997492332901118e+02 1.161596136701168831e+02 1.253819082707083084e+02 1.044798153007461678e+02
1.057794832291303209e+02 1.063039932199628481e+02 1.169054939537459887e+02 1.099321360803544394e+02 1.157932723912248747e+02 1.039133682670505436e+02
1.027035234011072333e+02 8.952831019367027920e+01 8.360611359463027270e+01 9.325574345408881527e+01 1.044815127753855677e+02 1.143871084419790947e+02
1.208064313817503432e+02 9.152619130576042039e+01 1.151923737098994991e+02 9.146727163136348793e+01 9.143077399530835692e+01 1.033717901586686452e+02
1.123632487255275549e+02 1.090432084275437461e+02 1.155033060889221304e+02 8.805652693751133597e+01 1.085253448707464656e+02 9.663263522151133600e+01
1.101881209933794992e+02 8.852625364535984431e+01 9.012133746537281809e+01 9.976254373554483834e+01 1.024862991287861576e+02 9.878639651799977628e+01
1.066380931064612696e+02 1.149624852322097439e+02 1.099900661125518866e+02 1.048892454160569372e+02 1.072251050557553071e+02 1.072175919607786341e+02
9.113522668153625261e+01 1.114021810981641494e+02 8.953747072911104965e+01 1.040012487936296850e+02 1.069634335538303844e+02 1.047200651311749766e+02
1.142423459048364123e+02 1.022437883291912186e+02 1.073890897070505162e+02 9.349465954315189720e+01 7.962405046722095392e+01 9.476801490896104951e+01
