log.prior	log.likelihood	log.likelihood.test.set
-1.337456285664192137e+03 -1.200097240691581419e+03 -9.503374132773353722e+01
-1.333460177082281689e+03 -1.205116501145405891e+03 -9.401158447938496465e+01
-1.349058882435407895e+03 -1.207107370820813003e+03 -9.352967054999319885e+01
-1.341733984416328212e+03 -1.204871719134216846e+03 -9.389377239898482230e+01
-1.321048722004876481e+03 -1.209511458828735158e+03 -9.449514143005973210e+01
-1.318502333405104764e+03 -1.206582782750081833e+03 -9.279942773297690906e+01
-1.321363243714006103e+03 -1.210453812277291945e+03 -9.337438335248285171e+01
-1.313141058332114426e+03 -1.217402302967269861e+03 -9.298729621145068336e+01
-1.299200036705507728e+03 -1.215516132400422066e+03 -9.219768158951217174e+01
-1.295919907235615256e+03 -1.214882596599643421e+03 -9.216657267736840708e+01
-1.323536381145875339e+03 -1.208659369815187347e+03 -9.219583278845701102e+01
-1.330580290689620369e+03 -1.216285248438649433e+03 -9.201926118303290991e+01
-1.330502910989507654e+03 -1.214932768348490981e+03 -9.261577173205293434e+01
-1.355851239806166632e+03 -1.209858244607926736e+03 -9.280079403322582721e+01
-1.335710894228099050e+03 -1.211642899964807611e+03 -9.213786710023475734e+01
-1.318727423638006712e+03 -1.209640888445047494e+03 -9.195310054323834947e+01
-1.315371944149971341e+03 -1.210535529630669089e+03 -9.201749239128199065e+01
-1.322282494074438773e+03 -1.208091340154610862e+03 -9.162377352075228032e+01
-1.315665370471419237e+03 -1.213744265075829389e+03 -9.060346280867341306e+01
-1.317326997087232940e+03 -1.219904647931154841e+03 -9.104270682226714939e+01
-1.320381699908591600e+03 -1.213989417411566592e+03 -9.085093071346520333e+01
-1.334776118099227233e+03 -1.215562604130193677e+03 -9.130196439727069446e+01
-1.322401647908184486e+03 -1.216485408703692883e+03 -9.182922900899239949e+01
-1.323762680946707178e+03 -1.217043894332005266e+03 -9.162697235745363855e+01
-1.341826579348189171e+03 -1.212096297011540628e+03 -9.040302852247751275e+01
